iter	Passed	Remaining
999	3781	185296
1000	3785	185299
1001	3788	185282
1002	3792	185263
1003	3795	185244
1004	3799	185248
1005	3803	185236
1006	3806	185215
1007	3810	185208
1008	3813	185183
1009	3817	185173
1010	3820	185142
1011	3824	185115
1012	3827	185094
1013	3830	185066
1014	3834	185034
1015	3837	185001
1016	3840	184972
1017	3843	184952
1018	3847	184940
1019	3851	184926
1020	3855	184934
1021	3858	184919
1022	3862	184899
1023	3865	184883
1024	3870	184924
1025	3873	184915
1026	3877	184893
1027	3881	184891
1028	3884	184884
1029	3888	184859
1030	3891	184855
1031	3895	184827
1032	3898	184802
1033	3902	184795
1034	3905	184766
1035	3909	184756
1036	3912	184741
1037	3916	184717
1038	3919	184716
1039	3923	184697
1040	3926	184665
1041	3929	184638
1042	3933	184614
1043	3936	184611
1044	3940	184606
1045	3943	184575
1046	3947	184554
1047	3950	184537
1048	3954	184521
1049	3957	184496
1050	3960	184466
1051	3963	184437
1052	3967	184420
1053	3970	184398
1054	3974	184383
1055	3977	184357
1056	3980	184333
1057	3984	184325
1058	3988	184313
1059	3991	184300
1060	3995	184286
1061	3998	184264
1062	4002	184250
1063	4005	184226
1064	4008	184197
1065	4012	184179
1066	4015	184158
1067	4019	184144
1068	4022	184134
1069	4026	184120
1070	4029	184102
1071	4033	184078
1072	4036	184074
1073	4040	184070
1074	4044	184061
1075	4047	184053
1076	4051	184037
1077	4055	184028
1078	4058	184030
1079	4062	184011
1080	4065	183993
1081	4069	183967
1082	4072	183963
1083	4076	183936
1084	4079	183918
1085	4083	183906
1086	4086	183891
1087	4090	183888
1088	4093	183869
1089	4097	183846
1090	4100	183825
1091	4104	183820
1092	4107	183808
1093	4111	183799
1094	4115	183788
1095	4118	183777
1096	4122	183773
1097	4125	183753
1098	4129	183725
1099	4132	183704
1100	4136	183694
1101	4139	183682
1102	4143	183673
1103	4146	183661
1104	4150	183649
1105	4153	183621
1106	4156	183600
1107	4160	183591
1108	4164	183575
1109	4167	183541
1110	4170	183536
1111	4174	183532
1112	4178	183517
1113	4181	183507
1114	4185	183509
1115	4189	183500
1116	4192	183474
1117	4195	183453
1118	4199	183427
1119	4202	183409
